Anomalous,Cluster,Day,Month,h1,h2,h3,h4,h5,h6,h7,h8,h9,h10,h11,h12,h13,h14,h15,h16,h17,h18,h19,h20,h21,h22,h23,h24
1,0,1,1,1,0,0.299890843,0.195044014,0.198812234,0.194608629,0.195873222,0,0.583615184,0.653947166,0.659252614,0.658227683,0.657949626,0.658153973,0.659845219,0.653915704,0.659571343,0.662061246,0.662021517,0.623036198,0.66096315,0.330982539,0.231141759,1
0,1,2,1,0.174002634,0.1817945,0.178889336,0.155451962,0.287481128,0,0,0.573152572,0.543980369,0.551715661,0.564567297,0.5732014,0.570098278,0.568823669,0.796384088,0.84116734,0.996798545,0.957883786,0.99223642,1,1,1,0.938943785,1
0,1,3,1,0.440282061,0.244073008,0.181113294,0.178846156,0.169369831,0.206202387,0,0.543935364,0.555504377,0.572593874,0.594883495,0.653250194,0.569473244,0.576976503,0.756428427,0.982452564,1,1,1,1,1,0.998010555,0.794554766,1
0,2,4,1,0.522002926,0.314627519,0.218219823,0.212211057,0.198227033,0.340507821,0.527276992,0.682056206,0.703583217,0.830986812,0.716250595,0.702274614,0.710184514,0.717068411,0.917096024,0.903571217,1,0.815096439,0.683556853,0.610982479,0,0.252500423,0.206939176,1
0,0,5,1,0.011123882,0.010476928,0.091583062,0.412114195,0.481716537,0.488836781,0.469054249,0.480199707,0.475045932,0.451348828,0.470312201,0.489157337,0.477206275,0.478211228,0.796294034,0.999991612,1,0.987556703,0.744305585,0.464342317,0.317293995,0.139459474,0,1
0,0,6,1,0.180894764,0.179121351,0.259688229,0.523400975,0.71870282,0.71537609,0.56949775,0.573624922,0.575921309,0.575847457,0.576383635,0.578802716,0.574313648,0.585761064,0.826930285,0.999450446,1,1,0.997817339,0.772372593,0.461212208,0,0.226510224,1
0,0,7,1,0.013259266,0.011734068,0.074917175,0.334623396,0.482466397,0.485853299,0.484902056,0.475944882,0.483440983,0.481498633,0.470110447,0.483831827,0.454086663,0.478784777,0.785790667,0.996539761,1,1,0.999842546,0.695628685,0.329589581,0.141355123,0,1
0,0,8,1,0.000431279,0,0.073301772,0.347565055,0.469010094,0.478701872,0.478418198,0.455285623,0.477261892,0.455598588,0.468793811,0.478417831,0.419580862,0.480139384,0.717256618,0.974821273,1,1,1,0.957489889,0.673245635,0.394636735,0.130441027,1
1,1,9,1,0.178772742,0.180862906,0.191886107,0,0,0,0.574962256,0,0,0,0.574962256,0.574962256,0,0.432105175,0.734410144,0.92687571,1,1,1,1,1,1,0.804592542,1
0,1,10,1,0.287481128,0.207179018,0.18143177,0.180103432,0.17143361,0.257393252,0,0.517878119,0.561545217,0.574257064,0.575788027,0.576238391,0.572959655,0.572493036,0.739577835,0.864620087,0.999956795,1,1,1,1,1,0.984115939,1
0,2,11,1,0.943815832,0.314468268,0.197603632,0.195667486,0.182098202,0.314605277,0.511306003,0.731135951,0.831400189,0.943815832,0.809214218,0.786513193,0.786513193,0.881970857,0.943815832,1,0.883012781,0.661099487,0.621661946,0.560248716,0,0.226826082,0.195732068,1
0,0,12,1,0.181233437,0.181228927,0.274471484,0.647636353,0.713988252,0.71870282,0.71870282,0.594394332,0.575099832,0.582850337,0.684894763,0.693788333,0.570798365,0.632251067,0.877666971,1,1,1,1,0.786571966,0.567841305,0,0.23786702,1
0,0,13,1,0.180991582,0.180097745,0.248268178,0.464878391,0.570180656,0.571007717,0.571129217,0.57607941,0.576776027,0.576353205,0.575027756,0.571207482,0.524995897,0.544571663,0.798026549,0.995908916,1,1,0.999836523,0.794739307,0.482264463,0,0.230620271,1
0,0,14,1,0.176611595,0.175840388,0.255555306,0.501617838,0.684498335,0.71870282,0.557936784,0.574637361,0.576219733,0.576023007,0.57763468,0.576385328,0.56050419,0.540553078,0.828444998,0.998992697,1,1,1,0.756494728,0.478808408,0,0.287481128,1
0,0,15,1,0.180409664,0.179439722,0.241239421,0.443333103,0.578416217,0.574261696,0.572237678,0.558010282,0.574962256,0.570254771,0.571562611,0.532659117,0.574962256,0.498004455,0.74288341,0.920145513,1,1,1,0.999917255,0.75974721,0.51033039,0,1
1,1,16,1,0.180204689,0.181017007,0.188776074,0,0.574962256,0.574953546,0.574962256,0,0,0,0.574962256,0,0,0.431221692,0.680776442,0.795917752,0.997774863,1,1,1,1,0.994096745,0.733279034,1
0,1,17,1,0.412309182,0.214971022,0.181339247,0.180460386,0.197978651,0,0.574962256,0.542645021,0.569397208,0.577296024,0.576508933,0.575199432,0.576347821,0.574116262,0.741715681,0.888632126,0.999973698,0.999789787,1,1,1,1,1,1
0,2,18,1,0.862443384,0.285559786,0.179535861,0.178129729,0.169022673,0.287481128,0.472354868,0.745838095,0.770517635,0.996325886,1,0.996024097,0.758523565,0.725456437,0.765232082,0.797951515,0.804925831,0.79046366,0.775581013,0.73996096,0.564586079,0.524270875,0,1
1,0,19,1,0.172869682,0.18427293,0.180068396,0.200361018,0,0.484419233,0.561061611,0.564391264,0.762926992,0.813266984,0.818590485,0.84473188,0.797154793,0.774383505,0.989191438,1,0.999978256,0.978981976,0.793741515,0.568364016,0.448341164,0.287481128,0.174829967,1
0,0,20,1,0.180542792,0.17866358,0.257729143,0.531775781,0.742995355,0.748430789,0.561093233,0.573308954,0.57796586,0.576418013,0.574881928,0.576345271,0.572535327,0.594248918,0.862601996,0.999880128,0.999880128,0.999880128,1,0.79032074,0.490113066,0,0.279499067,1
0,0,21,1,0.180543094,0.179445372,0.246937358,0.497995297,0.58826974,0.71870282,0.565107125,0.57255215,0.572010685,0.574242344,0.577444066,0.575746133,0.553693554,0.562102499,0.785459831,0.998153547,1,1,1,0.851586483,0.495967527,0,0.245163934,1
