Anomalous,Cluster,Day,Month,h1,h2,h3,h4,h5,h6,h7,h8,h9,h10,h11,h12,h13,h14,h15,h16,h17,h18,h19,h20,h21,h22,h23,h24
0,1,7,8,0.177805227,0.181218742,0.192727806,0,0.514725732,0.56436393,0.574962256,0,0.574962256,0.548811346,0.574962256,0.574962256,0.574962256,0.441822384,0.691345627,0.827639615,0.862443384,0.877221124,0.999657134,1,1,1,0.992735892,1
0,1,8,8,0.43122649,0.26302594,0.181446662,0.173462159,0.163694393,0,0.513617969,0.554425129,0.559177481,0.561719204,0.564855891,0.569116047,0.569485731,0.57343301,0.575499055,0.706155109,0.74773897,0.862443384,0.96335815,0.999990484,1,1,0.999747025,1
0,2,9,8,0.846911657,0.154990305,0.035438656,0.017550163,0,0.154990305,0.404736655,0.666396423,0.678695663,0.836865129,0.736428461,0.671068019,0.666396423,0.713753236,0.843354621,0.997793445,0.999836998,1,0.99891078,0.762451637,0.335413412,0.154990305,0.035931665,1
0,0,10,8,0.001966974,0,0.10662254,0.45139398,0.524106015,0.657110773,0.449735983,0.481512314,0.484074569,0.483252749,0.478201436,0.481268512,0.482415524,0.478166099,0.815189839,0.999662581,1,1,0.999266981,0.738905037,0.366007536,0.131469981,0.003159427,1
0,0,11,8,0.001278283,0,0.111774013,0.479337467,0.485632392,0.613002913,0.528312872,0.467155849,0.477836537,0.477566729,0.480705972,0.475167841,0.465454925,0.476238811,0.731581806,0.991212306,1,1,1,0.809355569,0.462094015,0.395647087,0.132787263,1
0,0,12,8,0.000601045,0,0.069734626,0.33998839,0.474800219,0.46183166,0.423945221,0.463600981,0.475577967,0.48195031,0.48342175,0.478748271,0.390695614,0.441143264,0.739647064,0.955769271,1,1,1,0.996818119,0.521383725,0.334957112,0.130676418,1
0,0,13,8,0,0.003564171,0.070694576,0.370050346,0.461057103,0.487298892,0.429816336,0.484378196,0.482817965,0.478685815,0.474284768,0.442345606,0.460899789,0.410656417,0.719282256,0.875128498,1,1,1,1,0.977350312,0.433131768,0.370738173,1
0,1,14,8,0.172252345,0.181293937,0.185275527,0,0.467054317,0.570807607,0.573547886,0.528301042,0.571205261,0.574962256,0.529756291,0.548434464,0.574962256,0.49789692,0.634994959,0.841852513,0.997625998,1,1,1,1,1,0.995883125,1
0,1,15,8,0.431395189,0.241800118,0.180845958,0.175390161,0.17764625,0,0.562438245,0.570876907,0.565094055,0.577256582,0.577005063,0.570003624,0.559545904,0.569173974,0.590376396,0.719736966,0.858387059,0.862443384,0.862453642,0.998530294,1,1,0.944675834,1
0,2,16,8,0.862443384,0.285314734,0.180188372,0.173301546,0.18095135,0,0.524164497,0.640944889,0.804761063,0.930513079,0.932319828,0.862443384,0.797712146,0.966873477,0.999997933,1,1,1,0.989813879,0.794423586,0.44262104,0.287481128,0.18738037,1
0,0,17,8,0.178241838,0.175016944,0.266518759,0.497063146,0.569392995,0.572210812,0.568679444,0.576620739,0.575527279,0.570526268,0.574151139,0.568285552,0.570731418,0.726740885,0.834198733,0.999923422,1,1,0.998218224,0.774546636,0.45992361,0,0.195529103,1
0,0,18,8,0.181302716,0.180405335,0.244531079,0.478764713,0.56310038,0.574258152,0.573229528,0.573509046,0.57704058,0.574820244,0.575383665,0.577117851,0.575185248,0.573340658,0.799252911,0.996735447,1,1,1,0.957567758,0.532088545,0,0.287481128,1
0,0,19,8,0.180280607,0.180093003,0.233286444,0.433694285,0.575565032,0.570928838,0.573357368,0.570651349,0.569885931,0.575550355,0.578011576,0.57181734,0.532824904,0.531646547,0.778431896,0.985964421,1,1,1,0.995871789,0.785079717,0,0,1
0,0,20,8,0.000317518,0,0.051889871,0.31427928,0.46043083,0.469700622,0.46103821,0.463942307,0.460147036,0.469563424,0.470259068,0.482825668,0.467378464,0.404809522,0.728064751,0.934226528,1,1,1,1,0.856133233,0.483396254,0.373094259,1
0,1,21,8,0.168506004,0.17879214,0.202938701,0,0.47116742,0.560655116,0.571804776,0.557394865,0.549286977,0.570945717,0.574962256,0.54577459,0.549693417,0.528202247,0.695311976,0.877251076,1,0.998673703,0.999871778,1,1,1,0.999933485,1
0,1,22,8,0.431221692,0.258414406,0.180072892,0.173012177,0.195732019,0,0.46915368,0.573574744,0.575235544,0.571079338,0.572491122,0.577172981,0.577560744,0.575673602,0.741327521,0.862443384,0.997371726,0.997978587,0.996610883,1,1,1,1,1
